ISO Code,country,UNICEF Programme Region,UNICEF Reporting Region,UNICEF Sub-Reporting Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AFG,Afghanistan,South Asia,South Asia,South Asia,1372,1311,1263,1201,1166,1108,1069,1032,955,925,893,838,810,778,755,741,702,659,629,601,634,660,551,521
ALB,Albania,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,15,14,14,13,13,12,11,10,10,9,9,9,10,10,10,9,8,8,7,7,7,14,8,7
DZA,Algeria,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,123,113,102,101,91,87,84,83,83,83,82,81,81,81,80,79,79,77,75,73,97,79,64,62
AND,Andorra,Industrialized,Europe and Central Asia,Western Europe,14,14,14,13,12,13,11,12,12,11,12,11,11,9,10,10,10,11,11,11,48,18,17,11
AGO,Angola,Eastern and Southern Africa,Sub-Saharan Africa,Eastern and Southern Africa,659,629,602,538,499,462,437,401,372,348,321,301,278,267,262,249,236,220,208,202,195,211,185,183
ATG,Antigua and Barbuda,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,37,36,36,33,34,33,32,32,31,32,31,31,30,32,32,30,28,31,31,32,35,32,36,35
ARG,Argentina,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,58,60,59,61,58,57,60,62,59,62,55,48,49,47,43,39,40,38,38,36,40,76,39,33
ARM,Armenia,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,40,38,36,35,34,32,31,30,29,29,28,27,27,26,26,25,25,24,24,23,43,57,27,19
AUS,Australia,Industrialized,East Asia and Pacific,East Asia and Pacific,7,6,6,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,5,5,5,4,4,2
AUT,Austria,Industrialized,Europe and Central Asia,Western Europe,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,6,6,7,7,6,6,7,6
AZE,Azerbaijan,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,46,45,40,41,40,40,33,33,30,29,28,27,28,24,23,21,22,22,21,21,21,55,32,18
BHS,Bahamas,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,51,48,46,57,69,70,74,78,80,84,79,74,71,74,78,83,77,79,82,82,84,174,80,76
BHR,Bahrain,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,25,24,23,22,21,20,20,19,19,18,18,18,17,17,16,16,17,17,16,17,7,10,5,17
BGD,Bangladesh,South Asia,South Asia,South Asia,523,495,465,436,406,378,352,334,310,293,275,258,244,230,217,204,191,179,168,157,152,194,131,115
BRB,Barbados,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,46,46,43,45,43,44,45,42,42,42,42,41,40,40,39,37,36,37,37,36,39,38,38,35
BLR,Belarus,Europe and Central Asia,Europe and Central Asia,Eastern Europe and Central Asia,20,18,16,14,12,9,7,6,4,4,3,2,2,2,2,1,1,1,1,1,2,2,1,1
BEL,Belgium,Industrialized,Europe and Central Asia,Western Europe,8,8,7,7,7,7,6,7,6,6,6,6,5,6,5,5,5,5,5,4,4,7,11,4
BLZ,Belize,Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,78,76,68,67,63,60,55,52,48,45,41,39,40,41,44,47,51,56,60,61,88,157,110,67
BEN,Benin,West and Central Africa,Sub-Saharan Africa,West and Central Africa,529,532,534,532,531,514,509,501,563,598,607,613,618,607,605,606,604,592,585,572,578,584,547,518
BTN,Bhutan,South Asia,South Asia,South Asia,324,286,257,229,207,186,167,149,133,121,107,96,86,79,73,68,63,58,55,52,51,50,49,47
BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Latin America and Caribbean,Latin America and Caribbean,287,276,262,256,251,242,236,224,214,205,196,187,180,175,171,166,162,160,157,156,218,270,164,146
