iso,country,indicator,base_year,current_year,x0,xT,AARR_obs,years_obs,AARR_required,years_to_2030,proj_2030,on_track
AGO,Angola,MMR,2000,2023,659.0,183.0,0.05418280930770325,23,0.12827774073673404,7,123.90861784160978,False
BDI,Burundi,MMR,2000,2023,860.0,392.0,0.03358273733760897,23,0.2181634017873978,7,308.63048381416587,False
BEN,Benin,MMR,2000,2023,529.0,518.0,0.0009131997181929252,23,0.24868157392270218,7,514.6977955586319,False
BFA,Burkina Faso,MMR,2000,2023,524.0,242.0,0.03303144536175229,23,0.16239283826522388,7,191.2942098208137,False
BWA,Botswana,MMR,2000,2023,136.0,155.0,-0.00570185627958697,23,0.10735062349128788,7,161.29334931318124,False
CAF,Central African Republic,MMR,2000,2023,1490.0,692.0,0.03279562280648218,23,0.27913159332352355,7,547.9410878333834,False
CIV,Côte d'Ivoire,MMR,2000,2023,378.0,359.0,0.002239740513710342,23,0.20827940634908637,7,353.4092101533565,False
CMR,Cameroon,MMR,2000,2023,678.0,258.0,0.04113804473264637,23,0.1700186505463669,7,192.27035064920545,False
COD,Democratic Republic of the Congo,MMR,2000,2023,585.0,427.0,0.0135949097325887,23,0.22765733998519633,7,387.98506490055536,False
COG,Congo,MMR,2000,2023,509.0,241.0,0.03198390892145009,23,0.1618972120318103,7,191.95307702981017,False
COM,Comoros,MMR,2000,2023,476.0,179.0,0.04163170422718776,23,0.1255211966395492,7,132.9168677217177,False
CPV,Cabo Verde,MMR,2000,2023,110.0,40.0,0.043029437637298606,23,0.0,7,29.400183498684367,True
ERI,Eritrea,MMR,2000,2023,741.0,291.0,0.039823489200628504,23,0.18416802705631818,7,218.9528139385581,False
ETH,Ethiopia,MMR,2000,2023,870.0,195.0,0.06295264885215268,23,0.13615140214896393,7,123.69876757340057,False
GAB,Gabon,MMR,2000,2023,178.0,233.0,-0.011775526927400026,23,0.1578455820878163,7,252.8978362890024,False
GHA,Ghana,MMR,2000,2023,472.0,234.0,0.030046225643610813,23,0.15836066201346366,7,189.0049240504126,False
GIN,Guinea,MMR,2000,2023,951.0,494.0,0.028075670692623622,23,0.24357251838159566,7,404.7194944204894,False
GMB,Gambia,MMR,2000,2023,810.0,354.0,0.03534869003251706,23,0.20669149355320482,7,275.1666336757427,False
GNB,Guinea-Bissau,MMR,2000,2023,1295.0,505.0,0.04011693218481038,23,0.24594859811179903,7,379.1575375925117,False
GNQ,Equatorial Guinea,MMR,2000,2023,406.0,174.0,0.036168736357895304,23,0.12197482107443314,7,134.4486090739032,False
KEN,Kenya,MMR,2000,2023,445.0,379.0,0.0069556133557763244,23,0.21438746502799555,7,360.92738565063837,False
LBR,Liberia,MMR,2000,2023,786.0,628.0,0.009709797140082355,23,0.26906810407563664,7,586.5391713707407,False
LSO,Lesotho,MMR,2000,2023,413.0,478.0,-0.006375154450406484,23,0.24000625048895807,7,499.743599683302,False
MDG,Madagascar,MMR,2000,2023,638.0,445.0,0.015541615237131712,23,0.23219967809526376,7,398.7875091824042,False
MLI,Mali,MMR,2000,2023,741.0,367.0,0.030087591477177433,23,0.21076821401078594,7,296.3423173570797,False
MOZ,Mozambique,MMR,2000,2023,525.0,82.0,0.07755283145693326,23,0.022349885719121998,7,46.60197980001943,True
MRT,Mauritania,MMR,2000,2023,644.0,381.0,0.02256326545678078,23,0.2149779305002325,7,324.74731861250586,False
MUS,Mauritius,MMR,2000,2023,43.0,66.0,-0.01880305425624207,23,0.0,7,75.1926867925578,False
MWI,Malawi,MMR,2000,2023,506.0,225.0,0.0346227867263027,23,0.1536317557287079,7,175.81738763532312,False
NAM,Namibia,MMR,2000,2023,384.0,139.0,0.04321946928350173,23,0.09334833628362826,7,102.02370853178081,False
NER,Niger,MMR,2000,2023,845.0,350.0,0.037596897028070675,23,0.20540259529814775,7,267.6499375758534,False
NGA,Nigeria,MMR,2000,2023,1136.0,993.0,0.005832400572787,23,0.3153796134618624,7,953.161482638531,False
RWA,Rwanda,MMR,2000,2023,885.0,229.0,0.05708276411061253,23,0.15575969959158686,7,151.75761872056222,False
SEN,Senegal,MMR,2000,2023,581.0,237.0,0.03823635378602264,23,0.15989093560891032,7,180.39597603176955,False
SLE,Sierra Leone,MMR,2000,2023,1603.0,354.0,0.06355711768231864,23,0.20669149355320482,7,223.54878470878302,False
SSD,South Sudan,MMR,2000,2023,1658.0,692.0,0.037277908272768556,23,0.27913159332352355,7,530.4111667582434,False
STP,Sao Tome and Principe,MMR,2000,2023,180.0,75.0,0.03734853420930051,23,0.009807712086544407,7,57.457245029382136,True
SWZ,Eswatini,MMR,2000,2023,361.0,118.0,0.04745421173985065,23,0.07188393428432094,7,83.96205026155334,False
SYC,Seychelles,MMR,2000,2023,45.0,42.0,0.0029951954896418886,23,0.0,7,41.127285739418404,True
TCD,Chad,MMR,2000,2023,1208.0,748.0,0.020624279753210017,23,0.28710090537379274,7,646.4678481310362,False
TGO,Togo,MMR,2000,2023,496.0,349.0,0.015166593730703726,23,0.20507773923280093,7,313.59189482701953,False
TZA,United Republic of Tanzania,MMR,2000,2023,568.0,276.0,0.03089193825305314,23,0.17797668260428312,7,221.571820807906,False
UGA,Uganda,MMR,2000,2023,475.0,170.0,0.043691409542284676,23,0.11905281105441146,7,124.34700248492067,False
ZAF,South Africa,MMR,2000,2023,175.0,118.0,0.016988874781271868,23,0.07188393428432094,7,104.66248408812805,False
ZMB,Zambia,MMR,2000,2023,340.0,85.0,0.05849316185110909,23,0.027355446584753085,7,55.74209359542723,True
ZWE,Zimbabwe,MMR,2000,2023,405.0,358.0,0.005348864508009088,23,0.2079638538992562,7,344.8089308871364,False
